return_date,return_reason_group,shippedat,shipped_fc,invoicenumber,CATE2,cate5,skuseq,name,RTO_Flag,QAID,QA_Worker,ARC_Center,pack_workerid,batchjobid,locationname,stationname,actual_boxcategory,actual_boxname,unit,reasondetail
2025-03-09,Missing,3/8/25 14:18:17,ECH2,10285380218890,패션잡화,목걸이,42838133,삼각 볼드 롱사이즈 네크리스 / 골드,N,,,,rw_136_robotagent5,892571488,2.5F Autobag Nunit,2.5F_Autobag_robottmp 05,ROBOT_PB,R.Arm2,1,상품누락
2025-03-09,Missing,3/8/25 15:34:32,ECH2,10285395088780,뷰티,클렌징오일/워터/크림,43779432,클린 잇 제로 포어 클래리파잉 클렌징밤 180ML,N,,,,rw_136_robotagent3,892638225,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 15:48:47,ECH2,10285394572773,완구/취미,그림 DIY,41918003,동아피엠에스 사각 레인보우 스크래치 페이퍼,N,,,,rw_136_robotagent3,892643897,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 15:59:08,ECH2,10285397384603,가구/홈인테리어,커튼부자재,40266895,감성다는남자 커튼봉 브라켓 25mm 15mm 겸용 화이트3개입,N,,,,rw_136_robotagent3,892635111,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 19:18:56,ECH2,10285402143575,뷰티,메이크업베이스,11357732,조성아TM 물분크림 7X,N,,,,rw_136_robotagent3,892685294,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 20:07:24,ECH2,10285407374244,뷰티,자외선차단제,23466521,닥터지 그린 마일드 업 선 플러스 35ml,N,,,,rw_136_robotagent3,892787468,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 20:18:58,ECH2,10285410384955,문구/사무용품,샤프심,8594037,"[자바펜] 나노블랙 ONE 0.5mm B, 샤프심, 6개",N,,,,rw_136_robotagent3,892796437,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 20:33:24,ECH2,10285395494581,가전디지털,이어폰,42755822,아이리버 ISE-30C / 화이트 ISE-30C,N,,,,rw_136_robotagent3,892806223,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 21:04:13,ECH2,10285405308555,주방용품,수저받침,47865441,에이드엘 실리콘 수저받침 6P 스프링,N,,,,rw_136_robotagent3,892813715,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,포장이 뜯어진 채 빈 비닐만 배송됨
2025-03-09,Missing,3/8/25 21:09:51,ECH2,10285410041233,패션잡화,라이터/담배케이스,54319125,고급 방풍 투명탱크 커플 생일 선물용 개인용 라이터 케이스 / 블루 아크(골드),N,,,,rw_136_robotagent2,892798322,2.5F Autobag Nunit,2.5F_Autobag_robottmp 02,ROBOT_PB,R.Arm2,1,빈비닐 배송됨
2025-03-09,Missing,3/8/25 21:32:29,ECH2,10285398652115,가전디지털,휴대폰액세서리,34528061,바우아토 맥세이프 그립톡 / 비비드레드,N,,,,rw_136_robotagent3,892848508,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 22:09:57,ECH2,10285398637220,자동차용품,키홀더,50332780,플러그인 / 베이지 H-10,N,,,,rw_136_robotagent3,892886706,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,빈 비닐만 배송 / 비닐 훼손
2025-03-09,Missing,3/8/25 22:10:44,ECH2,10285417989361,식품,다이어트식품,50977706,푸드올로지 콜레올로지컷 PRO 다이어트케어 / 1개 30정,N,,,,rw_136_robotagent3,892886706,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 23:17:51,ECH2,10285412215304,식품,다이어트식품,44433414,푸드올로지 맨올로지컷 프로 PRO / 1개 80정,N,,,,rw_136_robotagent3,892896307,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,빈봉지 배송됨
2025-03-09,Missing,3/8/25 23:19:15,ECH2,10285417354855,생활용품,치약,42263065,"[민티드] 프리미엄 고체치약 리필형 90정 (1.5개월분), 1개, 63g / 1개 63g",N,,,,rw_136_robotagent3,892896307,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 23:25:01,ECH2,10285411791034,생활용품,기타세탁세제류,37673522,생활공식 초강력 신발클리너 25p,N,,,,rw_136_robotagent3,892907785,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 23:25:45,ECH2,10285409905422,생활용품,기타수납및정리용품,52713329,엔더 초강력 실리콘 틈새차단 방수 단면 테이프 투명 1개,N,,,,rw_136_robotagent3,892907785,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 23:40:54,ECH2,10285410377012,문구/사무용품,문구용칼,44488839,화신 253 커터칼 대,N,,,,rw_136_robotagent5,892946447,2.5F Autobag Nunit,2.5F_Autobag_robottmp 05,ROBOT_PB,R.Arm2,1,
2025-03-09,Missing,3/8/25 23:42:29,ECH2,10285419376492,자동차용품,열쇠고리,38842888,엑스비지 하트 벌룬도그 키링 / 블랙,N,,,,rw_136_robotagent3,892943966,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,봉투 끝이 열려있고 빈봉투로 배송됨
