return_date,return_reason_group,shippedat,shipped_fc,invoicenumber,CATE2,cate5,skuseq,name,RTO_Flag,QAID,QA_Worker,ARC_Center,pack_workerid,batchjobid,locationname,stationname,actual_boxcategory,actual_boxname,unit,reasondetail,
2025-03-09,Wrong,3/4/25 02:42:16,ECH2,10285062298932,뷰티,클렌징폼/젤/파우더,33145102,센카 퍼펙트 휩 콜라겐 인 120g,N,,,,rw_136_robotagent7,889127787,2.5F Autobag Nunit,2.5F_Autobag_robottmp 07,ROBOT_PB,R.Arm2,1,"상품을 못찾겠어요
갖고가지 않았는데 아무리 찾아도 없습니다.",
2025-03-09,Wrong,3/6/25 19:41:10,ECH2,10285266184793,뷰티,립스틱,42881795,원나잇 립스틱 2종 세트 / 1개 2종특가(2호+4호),N,,,,rw_136_robotagent5,891264862,2.5F Autobag Nunit,2.5F_Autobag_robottmp 05,ROBOT_PB,R.Arm2,1,2호4호  시켰는데 4호 5호가 왔네요,
2025-03-09,Wrong,3/7/25 03:04:45,ECH2,10285296860075,생활용품,샤워기필터,10067354,코멧홈 샤워기 필터 (3입),N,,,,rw_136_robotagent3,891639569,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,잘못샀어요 다른필터네요,
2025-03-09,Wrong,3/7/25 20:21:37,ECH2,10285332423413,가전디지털,기타음향액세서리,30318007,에어팟 프로2 투명 TPU케이스,N,,,,rw_136_robotagent7,892079628,2.5F Autobag Nunit,2.5F_Autobag_robottmp 07,ROBOT_PB,R.Arm2,1,디자인이 완전 다르고 고리도 없음,
2025-03-09,Wrong,3/8/25 03:14:57,ECH2,10285327485296,생활용품,수공구,52688266,모모이츠 수동 스틱 강화코팅 정밀 드라이버 24p 세트 / 1세트,N,,,,rw_136_robotagent1,892383503,2.5F Autobag Nunit,2.5F_Autobag_robottmp 01,ROBOT_PB,R.Arm2,1,찢어진 봉투에 귀걸이가 들어 있음.,
2025-03-09,Wrong,3/8/25 23:54:46,ECH2,10285429286985,문구/사무용품,기타 만들기세트/재료,50385742,마다꾸미 비즈 공예 DIY 만들기 재료 우레탄줄 0.5mm 투명 1개,N,,,,rw_136_robotagent1,892957063,2.5F Autobag Nunit,2.5F_Autobag_robottmp 01,ROBOT_PB,R.Arm2,1,철사 와이어가 배송됨,
2025-03-10,Wrong,3/7/25 15:02:02,ECH2,10285328232734,주방용품,기타수납/정리용품,50305803,어느새만물점 조리도구 냄비뚜껑 거치대 받침대 실리콘 / 1개 (깔끔한) 화이트,N,,,,rw_136_robotagent7,891882924,2.5F Autobag Nunit,2.5F_Autobag_robottmp 07,ROBOT_PB,R.Arm2,1,실리콘제품이 아니네요,
2025-03-10,Wrong,3/7/25 23:52:21,ECH2,10285355580124,뷰티,립케어,11352582,더페이스샵 닥터벨머 시카터치 컬러 립밤 코랄 5.5g,N,,,,rw_136_robotagent5,892241602,2.5F Autobag Nunit,2.5F_Autobag_robottmp 05,ROBOT_PB,R.Arm2,1,색상이잘못왔어요,
2025-03-10,Wrong,3/8/25 08:27:29,ECH2,10285369436171,출산/유아,이유식스푼/포크,49364285,릴리브 빨아먹는 이유식 자기주도스푼 유아수저세트 / 1세트 [옵션1] 허니+핑크,N,,,,rw_136_robotagent7,892406229,2.5F Autobag Nunit,2.5F_Autobag_robottmp 07,ROBOT_PB,R.Arm2,1,"제가 주문한적이 없는 물건이 배송되었네요.
페이도 제거로 결제 되었던데요.반품하고 환불부탁드립니다.",
2025-03-10,Wrong,3/8/25 20:24:56,ECH2,10285392256720,가전디지털,기타음향액세서리,46582481,명품쿠션 에어팟케이스 / 화이트 에어팟1/2세대,N,,,,rw_136_robotagent3,892802998,2.5F Autobag Nunit,2.5F_Autobag_robottmp 03,ROBOT_PB,R.Arm2,1,옆으로된거시키는데 다른기종이와여,
